,Quick Lookup,USDA Symbol,Available Flag,Local Flag,Online Flag,Article Flag,Local Count,Online Counts,Article Counts,Local Names,Online Names,Article Names,Super Plant,Blurb,Recommendation Score,QUIZ_BEE,QUIZ_BUTTERFLY,QUIZ_HUMMINGBIRD,Plant Type,Scientific Name,Common Name,Plant Family,Native Status,Distribution in USA,Workhorse,Flower Color,Showy,Flowering Months,Height (feet),Lifespan,Growth Form,Shape and Orientation,Fall Conspicuous,Leaf Retention,Sun Exposure,Soil Moisture,Moisture Use,Soil Texture,Salt Tolerance,pH (Range),Fertility Requirement,Growth Rate,Active Growth Period,Hedge Tolerance,Resprout Ability,Drought Tolerance,Fire Tolerance,Palatability (Browsing/Grazing),Propagation,Commercially Available,Pollinator Value,Benefits To Pollinators,Pollinators,Native Bees (except Bombus),Bombus,Honey Bees,"Beetles, Wasps, Flies",Moths,Butterflies,Monarchs,Nesting and Structure (Bees),Larval Host (Monarch),Larval Host (Butterfly),Larval Host (Moth),Larval Species (Lepidoptera),Hummingbirds,Bats,Wind
0,Abies balsamea,ABBA,1,1,0,0,4,1,0,"Edge ot Woods Orefield, Go Native Trees, Musser Indiana, Perennial New Bloomfield",PlantMoreNatives.com,,No,,5.7,No,Yes,No,Tree,Abies balsamea,Balsam Fir,Pinaceae,"L48 (N), CAN (N), SPM (N)","CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV",Workhorse/Pollinator,Yellow,No,Jun–Aug,60,Short,Single Stem,Conical,No Color,Evergreen,"Sun, Part Shade, Shade","Wet, Moist",Medium,,None,4–6,Medium,Slow,"Spring, Summer",Low,No,Low,Low,Medium/,"Seed, Container, Bare root",Available 2017,Medium,Larval Food,Larval Host (Butterfly); Larval Host (Moth); Wind,,,,,,,,,,Yes,Yes,"Acleris gloveranus, Acleris variana, Acronicta sperata, Amorbia humerosana, Anacamptodes ephyraria, Anacamptodes vellivolata, Aplectoides condita, Archepandemis borealis, Archepandemis morrisana, Archips alberta, Archips packardiana, Archips strianus, Argyresthia abies, Argyrotaenia niscana, Argyrotaenia velutinana, Automeris io, Barbara mappana, Campaea perlata, Caripeta angustiorata, Caripeta divisata, Choristoneura fumiferana, Choristoneura occidentalis, Choristoneura pinus, Choristoneura rosaceana, Cingilia catenaria, Cladara limitaria, Clemensia albata, Clepsis persicana, Coleotechnites atrupictella, Dasychira plagiata, Dasychira vagans, Dioryctria abietivorella, Dioryctria reniculella, Dolichomia thymetusalis, Ectropis crepuscularia, Eilema bicolor, Elaphria versicolor, Endothenia albolineana, Epermenia albapunctella, Epiblema radicana, Epinotia balsameae, Epirrita autumnata henshawi, Epirrita autumnata omissa, Eucosma tocullionana, Eueretagrotis perattentus, Eufidonia discospilata, Eufidonia notataria, Eulithis explanata, Eupithecia albicapitata, Eupithecia annulata, Eupithecia filmata, Eupithecia gibsonata, Eupithecia lariciata, Eupithecia luteata, Eupithecia mutata, Eupithecia mutata mutata, Eupithecia palpata, Eupithecia transcanadata, Eutrapela clemataria, Feralia comstocki, Feralia jocosa, Griselda radicana, Hyalophora columbia columbia, Hydriomena divisdaria, Hydriomena furcata, Hydriomena renunciata, Hypagyrtis piniata, Hypoprepia fucosa, Idia aemula, Korscheltellus gracilis, Lambdina fervidaria, Lambdina fiscellaria, Lambdina fiscellaria fiscellaria, Lithophane fagina, Lithophane innominata, Lophocampa argentata, Lymantria dispar, Macaria pustularia, Malacosoma disstria, Marmara fasciella, Melanolophia canadaria, Melanolophia imitata, Melanolophia signataria, Nematocampa filamentaria, Nemoria mimosaria, Neophasia menapia, Nepytia canosaria, Nepytia semiclusaria, Nycteola revayana, Orgyia antiqua, Orgyia antiqua nova, Orgyia leucostigma, Orgyia leucostigma intermedia, Orgyia leucostigma plagiata, Orthosia hibisci, Palthis angulalis, Panthea acronyctoides, Paralobesia piceana, Peridroma saucia, Pero morrisonaria, Phlogophora periculosa, Probole amicaria, Prochoerodes transversata, Protoboarmia porcelaria, Protoboarmia porcelaria indicataria, Semiothisa bisignata, Semiothisa granitata, Semiothisa granitata-group, Semiothisa oweni, Semiothisa signaria dispuncta, Solenobia walshella, Sparganothis sulfureana, Sparganothis tristriata, Sphinx poecila, Synaxis pallulata, Syndemis afflictana, Syngrapha abstrusa, Syngrapha alias, Syngrapha rectangula, Syngrapha selecta, Syngrapha viridisigma, Tetracis cachexiata, Thallophaga hyperborea, Tolype laricis, Xestia badicollis, Xestia elimata, Xestia perquiritata, Xestia praevia, Zanclognatha cruralis, Zanclognatha minoralis, Zanclognatha protumnusalis, Zeiraphera canadensis, Zeiraphera diniana, Zeiraphera fortunana, Zeiraphera improbana, Zeiraphera ratzeburgiana, Zeiraphera unfortunana",,,Yes
1,Acer negundo,ACNE2,1,1,1,0,3,3,0,"Archewild Quakertown, Gino's Newtown, Go Native Trees",PlantMoreNatives.com,WCT STAFF FAVORITES PLANT LIST,No,,9.0,Yes,Yes,No,Tree,Acer negundo,Boxelder,Aceraceae,"L48 (N), CAN (N)","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Workhorse/Pollinator,White,No,Mar–Apr,60,Short,Multiple Stem,Erect,Color,Deciduous,"Sun, Part Shade, Shade","Wet, Moist",Medium,,Medium,5–7.8,Medium,Rapid,"Spring, Summer",None,Yes,High,Low,Low/Low,"Seed, Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Nesting and Structure (Bees); Larval Host (Butterfly); Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,,,Yes,,Yes,Yes,"Abagrotis barnesi, Abagrotis orbis, Abagrotis reedi, Acleris negundana, Acronicta americana, Acronicta sperata sperata, Adoxophyes negundana, Alsophila pometaria, Amphipyra pyramidoides, Anacampsis niveopulvella, Anacamptodes ephyraria, Anavitrinella pampinaria, Antheraea polyphemus polyphemus, Archips argyrospila, Archips negundana, Archips semiferanus, Automeris io io, Biston betularia cognataria, Caloptilia alnivorella, Caloptilia negundella, Campaea perlata, Chionodes negundella, Choristoneura conflictana, Choristoneura rosaceana, Clepsis persicana, Colocasia propinquilinea, Crocigrapha normani, Datana ministra, Dryocampa rubicunda, Eacles imperialis, Eacles imperialis imperialis, Ectropis crepuscularia, Elaphria festivoides, Ennomos magnaria, Erannis tiliaria, Eupsilia tristigmata, Eupsilia vinulenta, Euxoa tessellata, Glena cognataria, Halysidota tessellaris, Haploa lecontei, Hyalophora cecropia, Hyalophora columbia gloveri, Hypagyrtis unipunctata, Hyphantria cunae, Iridopsis larvaria, Laetilia coccidivora, Lithophane antennata, Lithophane bethunei, Lithophane georgii, Lithophane grotei, Lithophane hemina, Lithophane laticinerea, Lophocampa caryae, Lophocampa maculata, Lymantria dispar, Malacosoma disstria, Melanolophia canadaria, Nematocampa filamentaria, Oiketicus abbotii, Oligocentria lignicolor, Operophtera bruceata, Orgyia antiqua, Orgyia leucostigma, Orgyia leuschneri, Orgyia leuschneri leuschneri, Orgyia leuschneri ringd, Orthosia hibisci, Orthotaenia undulana, Paleacrita vernata, Palthis angulalis, Pandemis canadana, Pandemis limitata, Papaipema cataphracta, Peridroma saucia, Pero morrisonaria, Phigalia titea, Prionoxystus robiniae, Proteoteras aesculana, Proteoteras arizonae, Proteoteras crescentana, Proteoteras willingana, Sabulodes caberata, Satyrium calanus, Schizura ipomoeae, Semiothisa aemulataria, Spaelotis clandestina, Sparganothis pettitana, Spilosoma vestalis, Stigmella apicialbella, Xylena cineritia, Zale duplicata largera",,,Yes
2,Acer pensylvanicum,ACPE,1,1,1,0,4,3,0,"Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Redbud Media",PlantMoreNatives.com,WCT STAFF FAVORITES PLANT LIST,No,,6.6,Yes,No,No,"Tree, Shrub",Acer pensylvanicum,Striped Maple,Aceraceae,"L48 (N), CAN (N)","CT, GA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV",Pollinator,Yellow,No,May–Jun,35,Short,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade, Shade","Moist, Dry",Low,,None,4.4–6.5,Medium,Slow,"Spring, Summer",None,Yes,Low,Medium,High/Medium,"Seed, Container, Bare root",Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,,,,,,Yes,"Acronicta americana, Antheraea polyphemus polyphemus, Biston betularia, Ectropis crepuscularia, Eutrapela clemataria, Hyphantria cunae, Lithophane innominata, Lithophane semiusta, Lymantria dispar, Melanolophia canadaria, Morrisonia latex, Orthosia hibisci, Plagodis phlogosaria, Sparganothis pettitana",,,Yes
3,Acer rubrum,ACRU,1,1,1,0,6,3,0,"Archewild Quakertown, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Musser Indiana, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,7.6,Yes,No,No,Tree,Acer rubrum,Red Maple,Aceraceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV",Workhorse/Pollinator,Red,Yes,Mar–Apr,68,Short,Single Stem,Rounded,Color,Deciduous,"Sun, Part Shade","Wet, Moist, Dry",High,,None,4.7–7.3,Medium,Rapid,"Spring, Summer",Low,Yes,Medium,Low,Medium/Low,"Seed, Container, Bare root",Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,,,,,,Yes,"Acleris chalybeana, Acronicta americana, Acronicta retardata, Actias luna luna, Alsophila pometaria, Amphipyra pyramidoides, Anacamptodes ephyraria, Anavitrinella pampinaria, Antaeotricha leucillana, Antheraea polyphemus polyphemus, Archips argyrospila-complex, Archips rosana, Automeris io, Automeris io io, Besma endropiaria, Biston betularia cognataria, Caloptilia aceriella, Caloptilia bimaculatella, Caloptilia speciosella, Caloptilia umbratella, Cameraria aceriella, Cameraria saccharella, Campaea perlata, Catastega aceriella, Choristoneura fractivittana, Choristoneura parallela, Choristoneura rosaceana, Coleophora alniella, Colocasia flavicornis, Crocigrapha normani, Dafa formosella, Dasychira plagiata, Datana ministra, Dryocampa rubicunda, Eacles imperialis, Ectropis crepuscularia, Ennomos magnaria, Ennomos subsignaria, Episimus tyrius, Erannis tiliaria, Eupsilia sidus, Eupsilia tristigmata, Eutrapela clemataria, Halysidota tessellaris, Herpetogramma pertextalis, Heterocampa biundata, Heterocampa guttivitta, Hyalophora cecropia, Hypagyrtis unipunctata, Hypena baltimoralis, Hyphantria cunae, Lambdina fiscellaria, Lambdina fiscellaria fiscellaria, Lithacodes fasciola, Lithophane bethunei, Lithophane grotei, Lithophane innominata, Lithophane laticinerea, Lithophane petulca, Lophocampa caryae, Lophocampa maculata, Lymantria dispar, Macaria pustularia, Machimia tetoriferella, Malacosoma americana, Megalopyge crispata, Melanolophia canadaria, Melanolophia signataria, Metanema determinata, Morrisonia confusa, Morrisonia latex, Nadata gibbosa, Nematocampa filamentaria, Nites betulella, Olethreutes appendiceum, Operophtera brumata, Oreana unicolorella, Orgyia antiqua, Orgyia definita, Orgyia leucostigma, Orgyia leucostigma plagiata, Orthosia revicta, Orthotaenia undulana, Paleacrita vernata, Pandemis lamprosana, Paraclemensia acerifoliella, Parallelia bistriaris, Phigalia titea, Phlogophora periculosa, Phyllonorycter trinotella, Plagodis alcoolaria, Plagodis serinaria, Pococera aplastella, Probole alienaria, Probole amicaria, Prochoerodes transversata, Proteoteras aesculana, Proteoteras moffatiana, Proteoteras willingana, Protoboarmia porcelaria, Schizura ipomoeae, Selenia kentaria, Semiothisa aemulataria, Semiothisa ulsterata, Sparganothis acerivorana, Sparganothis pettitana, Spilosoma virginica, Symmerista leucitys, Synanthedon acerni, Synanthedon acerni buscki, Synanthedon acerrubri, Tetracis cachexiata, Xanthotype sospeta, Zale duplicata largera, Zale lunifera, Zale minerea norda",,,Yes
4,Acer saccharinum,ACSA2,1,1,1,0,6,3,0,"Archewild Quakertown, Gino's Newtown, Go Native Trees, Musser Indiana, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,6.6,Yes,No,No,Tree,Acer saccharinum,Silver Maple,Aceraceae,"L48 (N), CAN (N)","AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV",Workhorse/Pollinator,Red,Yes,Mar–Apr,50–100,Moderate,Single Stem,Rounded,Color,Deciduous,"Sun, Part Shade","Wet, Moist",Medium,,Low,4–7.3,Low,Rapid,"Spring, Summer",None,Yes,Low,Low,Low/Low,"Seed, Container, Bare root, Cutting",Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,,,,,,Yes,"Alsophila pometaria, Antheraea polyphemus polyphemus, Automeris io io, Caloptilia packardella, Cameraria aceriella, Cameraria saccharella, Colocasia flavicornis, Colocasia propinquilinea, Dasychira vagans, Eacles imperialis, Eacles imperialis imperialis, Ennomos subsignaria, Episimus tyrius, Erannis tiliaria, Euproctis chrysorrhoea, Euxoa messoria, Heterocampa biundata, Heterocampa guttivitta, Hyalophora cecropia, Hypena baltimoralis, Hyphantria cunae, Lambdina fervidaria athasaria, Lambdina fiscellaria, Leucoma salicis, Lithophane antennata, Lithophane bethunei, Lithophane grotei, Lithophane laticinerea, Lophocampa caryae, Lymantria dispar, Macaria pustularia, Machimia tetoriferella, Malacosoma americana, Morrisonia confusa, Morrisonia latex, Operophtera brumata, Orgyia leucostigma, Orthosia hibisci, Paleacrita vernata, Papaipema nebris, Parallelia bistriaris, Peridroma saucia, Phyllonorycter clemensella, Phyllonorycter lucidicostella, Phyllonorycter trinotella, Proteoteras aesculana, Proteoteras moffatiana, Schizura ipomoeae, Semiothisa aemulataria, Spaelotis clandestina, Sparganothis acerivorana, Sparganothis pettitana, Sunira bicolorago, Synanthedon acerni, Synanthedon acerni buscki",,,Yes
5,Acer saccharum,ACSA3,1,1,1,0,8,4,0,"Archewild Quakertown, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Hungry Hook Bainbridge, Musser Indiana, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,7.6,Yes,No,No,Tree,Acer saccharum,Sugar Maple,Aceraceae,"L48 (N), CAN (N)","AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV",Workhorse/Pollinator,Green,No,Apr–May,40–100,Long,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade, Shade",Dry,Medium,,None,3.7–7.9,Medium,Slow,"Spring, Summer",None,Yes,Medium,Low,Medium/,"Seed, Container, Bare root, Cutting",Available 2017,High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,,,,,,Yes,"Acleris chalybeana, Acronicta americana, Acronicta dactylina, Acronicta retardata, Actias luna luna, Alsophila pometaria, Amphipyra pyramidoides, Anacamptodes ephyraria, Antaeotricha leucillana, Antheraea polyphemus polyphemus, Archips cerasivorana, Besma endropiaria, Besma quercivoraria, Caloptilia umbratella, Cameraria aceriella, Cameraria saccharella, Campaea perlata, Catastega aceriella, Choristoneura fractivittana, Choristoneura rosaceana, Crocigrapha normani, Dasychira dorsipennata, Dasychira obliquata, Dasychira plagiata, Dichomeris ligulella, Dryocampa rubicunda, Eacles imperialis, Ennomos subsignaria, Erannis tiliaria, Euclea delphinii, Eutrapela clemataria, Glaucolepis saccharella, Halysidota tessellaris, Heterocampa biundata, Heterocampa guttivitta, Hyalophora cecropia, Hypagyrtis unipunctata, Hypena baltimoralis, Hyphantria cunae, Lambdina fiscellaria fiscellaria, Lithophane antennata, Lithophane bethunei, Lithophane innominata, Lithophane laticinerea, Lomographa vestaliata, Lophocampa caryae, Lophocampa maculata, Lycia ursaria, Lymantria dispar, Lytrosis unitaria, Macaria loricaria julia, Macaria pustularia, Machimia tetoriferella, Macrurocampa marthesia, Malacosoma americana, Malacosoma disstria, Melanolophia canadaria, Morrisonia confusa, Morrisonia latex, Nadata gibbosa, Nematocampa limbata, Olethreutes appendiceum, Olethreutes glaciana, Olethreutes nigranum, Operophtera bruceata, Operophtera brumata, Orgyia antiqua, Orgyia leucostigma, Orthosia garmani, Orthosia revicta, Paleacrita vernata, Palthis angulalis, Pandemis canadana, Pandemis lamprosana, Pandemis limitata, Paraclemensia acerifoliella, Parallelia bistriaris, Peridea basitriens, Peridea ferruginea, Phigalia titea, Phobetron pithecium, Phyllonorycter clemensella, Phyllonorycter lucidicostella, Plagodis alcoolaria, Plagodis serinaria, Pococera asperatella, Probole amicaria, Prolimacodes badia, Proteoteras aesculana, Proteoteras moffatiana, Protoboarmia porcelaria, Pseudosciaphila duplex, Pyrrharctia isabella, Schizura ipomoeae, Schizura unicornis, Sparganothis acerivorana, Sparganothis niveana, Sparganothis pettitana, Spilosoma virginica, Symmerista canicosta, Symmerista leucitys, Synanthedon acerni, Synanthedon acerrubri, Tetracis cachexiata, Tortricidia flexuosa, Tortricidia pallida",,,Yes
6,Achillea millefolium,ACMI2,1,1,1,1,1,6,2,Gino's Newtown,ErnstSeed.com,WCT STAFF FAVORITES PLANT LIST,Yes,,6.5,Yes,Yes,No,Herb (perennial),Achillea millefolium,Common Yarrow,Asteraceae,"L48 (NI), AK (N), HI (I), CAN (NI), GL (N), SPM (NI)","AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",Workhorse/Pollinator,White,Yes,May–Jul,1–4,Moderate,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,Medium,Low,6–8,Medium,Moderate,Spring,None,No,Medium,High,Medium/Low,"Seed, Container, Sprig",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,"Agrotis volubilis, Chlorochlamys chloroleucaria, Cryptocala acadiensis, Heliothis phloxiphaga, Homorthodes furfurata, Lacinipolia olivacea, Orthodes cynica, Papaipema nebris, Paradiarsia littoralis, Platyptilia williamsii, Pseudorthodes vecors, Sparganothis senecionana, Trichordestra legitima",,,
7,Aconitum uncinatum,ACUN,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,No,No,Herb (perennial),Aconitum uncinatum,Southern Blue Monkshood,Ranunculaceae,L48 (N),"AL, DC, GA, IL, IN, KY, MD, MO, NC, NH, OH, PA, SC, TN, VA, WV",Pollinator,Blue,Yes,Jul–Oct,2.5–3,,,,,,"Sun, Part Shade","Wet, Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Native Bees; Bombus,Yes,Yes,,,,,,,,,,,,,
8,Acorus americanus,ACAM,1,1,1,0,1,5,0,Edge ot Woods Orefield,ErnstSeed.com,,No,,3.6,Yes,No,No,Herb (perennial),Acorus americanus,Sweetflag,Acoraceae,"L48 (N), AK (N), CAN (N)","AK, CT, DC, DE, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NY, OH, PA, RI, SD, VA, VT, WA, WI",Pollinator,Yellow,No,May–Jun,4,Moderate,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade",Wet,High,,None,5.6–7.2,Medium,Moderate,"Spring, Summer",None,No,None,None,/Low,Sprig,Available 2017,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies",Yes,Yes,Yes,Yes,,,,,,,,,,,
9,Actaea pachypoda,ACPA,1,1,1,0,5,4,0,"Collins Glenside, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Northeast Quakertown",PlantMoreNatives.com,WCT STAFF FAVORITES PLANT LIST,No,,5.6,Yes,No,No,Herb (perennial),Actaea pachypoda,White Baneberry,Ranunculaceae,"L48 (N), CAN (N)","AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, VA, VT, WI, WV",Workhorse/Pollinator,White,Yes,May–Jun,1.5–3,,,,,,"Part Shade, Shade",Dry,,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths",Yes,Yes,,Yes,Yes,,,,,,,,,,
